"fidelity","eta_opt"
0.6493958279244058,0.005
0.656654187112229,0.015
0.6578556751710147,0.025
0.653229994852707,0.034999999999999996
0.6431763771958727,0.045
0.6282256439889694,0.055
0.6089994086841414,0.065
0.5861702073468187,0.07500000000000001
0.5604255133493218,0.085
0.5324375963351108,0.095
0.5028402029697686,0.10500000000000001
0.47221218790563885,0.115
0.4410675805921782,0.125
0.40985115979044046,0.135
0.37893840635914916,0.14500000000000002
0.3486386749206264,0.155
0.3192005151873431,0.165
0.2908182342272899,0.17500000000000002
0.263638980425589,0.185
0.23776981841613806,0.195
0.21328443314046533,0.20500000000000002
0.19022924115478984,0.215
0.16862879588851853,0.225
0.14849045263307042,0.23500000000000001
0.12980831278889374,0.245
0.11256650034820895,0.255
0.09674184169271698,0.265
0.08230602691312554,0.275
0.06922733060061097,0.28500000000000003
0.05747196520236984,0.295
0.047005132627993995,0.305
0.037791831285107776,0.315
0.02979746707538856,0.325
0.022988308696818616,0.335
0.017331820212749174,0.34500000000000003
0.012796897417456744,0.35500000000000004
0.009354029082906017,0.365
0.006975399666328896,0.375
0.005634946401652775,0.385
0.005308380776002108,0.395
0.005973182084701154,0.405
0.00760856894687227,0.41500000000000004
0.010195453240798801,0.425
0.013716379788723808,0.435
0.01815545420439225,0.445
0.02349826054810631,0.455
0.02973176976235982,0.465
0.036844239248336214,0.47500000000000003
0.044825103363165676,0.485
0.053664854052814376,0.495
0.0633549102762422,0.505
0.07388747431879615,0.515
0.08525537253583676,0.525
0.09745187751178605,0.535
0.11047050806520062,0.545
0.12430480297511413,0.555
0.1389480637424457,0.5650000000000001
0.15439306112312884,0.5750000000000001
0.170631699562416,0.585
0.18765463300353902,0.595
0.2054508248157176,0.605
0.22400704376159808,0.615
0.24330728697867648,0.625
0.263332119864821,0.635
0.2840579215281809,0.645
0.30545602310088915,0.655
0.3274917247707679,0.665
0.3501231759501268,0.675
0.3733001017371332,0.685
0.39696235798554586,0.6950000000000001
0.4210382972553111,0.7050000000000001
0.4454429291960549,0.715
0.470075862236167,0.725
0.49481901976158427,0.735
0.5195341344875338,0.745
0.5440600409618324,0.755
0.5682098098875097,0.765
0.5917678012515236,0.775
0.6144867582379037,0.785
0.6360851225807209,0.795
0.6562448257805142,0.805
0.6746098996059038,0.8150000000000001
0.6907863514232612,0.8250000000000001
0.7043438594889684,0.8350000000000001
0.7148199496319088,0.845
0.7217274002099305,0.855
0.7245656611987644,0.865
0.7228370316727384,0.875
0.716068176841277,0.885
0.7038372381963847,0.895
0.6858062619773111,0.905
0.6617579260327553,0.915
0.6316346042563475,0.925
0.5955767461897568,0.935
0.5539565079922482,0.9450000000000001
0.5074017553474783,0.9550000000000001
0.45680521873160634,0.965
0.40331396724501706,0.975
0.3482956671758571,0.985
0.29328036041915645,0.995
