"curve_id","n_det","tau","point_id","fidelity","eta_opt"
1,2,1.,1,0.6446144489039853,0.005
1,2,1.,2,0.6398022883612688,0.015
1,2,1.,3,0.6270862027937646,0.025
1,2,1.,4,0.6082812192634479,0.034999999999999996
1,2,1.,5,0.5849937856359289,0.045
1,2,1.,6,0.5585470460276545,0.055
1,2,1.,7,0.5299836585537518,0.065
1,2,1.,8,0.5001062664122157,0.07500000000000001
1,2,1.,9,0.46952886264090904,0.085
1,2,1.,10,0.43872464091675195,0.095
1,2,1.,11,0.40806446400659196,0.10500000000000001
1,2,1.,12,0.37784496537888285,0.115
1,2,1.,13,0.3483076239327605,0.125
1,2,1.,14,0.3196509563994328,0.135
1,2,1.,15,0.29203798122271324,0.14500000000000002
1,2,1.,16,0.2656007600037794,0.155
1,2,1.,17,0.24044336212716055,0.165
1,2,1.,18,0.2166441521522675,0.17500000000000002
1,2,1.,19,0.19425792743088396,0.185
1,2,1.,20,0.17331815555450514,0.195
1,2,1.,21,0.15383937555220353,0.20500000000000002
1,2,1.,22,0.13581971917361693,0.215
1,2,1.,23,0.11924346009711853,0.225
1,2,1.,24,0.10408349028197275,0.23500000000000001
1,2,1.,25,0.0903036373306602,0.245
1,2,1.,26,0.07786076194164152,0.255
1,2,1.,27,0.06670660168027748,0.265
1,2,1.,28,0.05678935128994398,0.275
1,2,1.,29,0.04805498823596083,0.28500000000000003
1,2,1.,30,0.04044836459805093,0.295
1,2,1.,31,0.03391409337491942,0.305
1,2,1.,32,0.028397259836279654,0.315
1,2,1.,33,0.023843987993999942,0.325
1,2,1.,34,0.02020188971709416,0.335
1,2,1.,35,0.017420420433467827,0.34500000000000003
1,2,1.,36,0.015451161451900777,0.35500000000000004
1,2,1.,37,0.014248045176090242,0.365
1,2,1.,38,0.013767536146176934,0.375
1,2,1.,39,0.013968778055273091,0.385
1,2,1.,40,0.014813714662274833,0.395
1,2,1.,41,0.01626719080033589,0.405
1,2,1.,42,0.018297038367423375,0.41500000000000004
1,2,1.,43,0.020874151172645846,0.425
1,2,1.,44,0.023972551694678105,0.435
1,2,1.,45,0.0275694520963127,0.445
1,2,1.,46,0.031645311161577955,0.455
1,2,1.,47,0.036183888129841225,0.465
1,2,1.,48,0.041172293665455974,0.47500000000000003
1,2,1.,49,0.04660103740883609,0.485
1,2,1.,50,0.05246407070464088,0.495
1,2,1.,51,0.05875882220222347,0.505
1,2,1.,52,0.06548622308364625,0.515
1,2,1.,53,0.07265071770677177,0.525
1,2,1.,54,0.08026025446424512,0.535
1,2,1.,55,0.08832625065846178,0.545
1,2,1.,56,0.096863524177497,0.555
1,2,1.,57,0.10589018372144784,0.5650000000000001
1,2,1.,58,0.11542746826121182,0.5750000000000001
1,2,1.,59,0.12549952529598427,0.585
1,2,1.,60,0.13613311629136482,0.595
1,2,1.,61,0.14735723640415033,0.605
1,2,1.,62,0.15920263420987252,0.615
1,2,1.,63,0.17170121562589416,0.625
1,2,1.,64,0.18488531455746837,0.635
1,2,1.,65,0.19878681099743975,0.645
1,2,1.,66,0.21343607542770027,0.655
1,2,1.,67,0.22886071650328044,0.665
1,2,1.,68,0.2450841073335472,0.675
1,2,1.,69,0.2621236645155159,0.685
1,2,1.,70,0.27998885389132316,0.6950000000000001
1,2,1.,71,0.2986788984739152,0.7050000000000001
1,2,1.,72,0.3181801680399946,0.715
1,2,1.,73,0.33846323772770753,0.725
1,2,1.,74,0.35947961605712714,0.735
1,2,1.,75,0.3811581627527352,0.745
1,2,1.,76,0.4034012452299252,0.755
1,2,1.,77,0.42608072094260097,0.765
1,2,1.,78,0.44903388151434953,0.775
1,2,1.,79,0.4720595527768897,0.785
1,2,1.,80,0.4949146093500242,0.795
1,2,1.,81,0.517311226986334,0.805
1,2,1.,82,0.5389152506999281,0.8150000000000001
1,2,1.,83,0.5593460882488988,0.8250000000000001
1,2,1.,84,0.5781785310322229,0.8350000000000001
1,2,1.,85,0.5949468426581369,0.845
1,2,1.,86,0.6091513297178048,0.855
1,2,1.,87,0.620267422665748,0.865
1,2,1.,88,0.6277570709253606,0.875
1,2,1.,89,0.6310820472430061,0.885
1,2,1.,90,0.6297186456715365,0.895
1,2,1.,91,0.6231733582983524,0.905
1,2,1.,92,0.6109995573940139,0.915
1,2,1.,93,0.5928161111967605,0.925
1,2,1.,94,0.5683302821297161,0.935
1,2,1.,95,0.5373691026600741,0.9450000000000001
1,2,1.,96,0.4999252815054636,0.9550000000000001
1,2,1.,97,0.4562245423715106,0.965
1,2,1.,98,0.4068191520187643,0.975
1,2,1.,99,0.35270414795503646,0.985
1,2,1.,100,0.2954351194313343,0.995
2,2,0.95,1,0.6401020659719999,0.005
2,2,0.95,2,0.6284287718272227,0.015
2,2,0.95,3,0.6112097097450389,0.025
2,2,0.95,4,0.5896487606159287,0.034999999999999996
2,2,0.95,5,0.5648421485664862,0.045
2,2,0.95,6,0.5377291644995423,0.055
2,2,0.95,7,0.5090826053185415,0.065
2,2,0.95,8,0.479522732509617,0.07500000000000001
2,2,0.95,9,0.44954172093745887,0.085
2,2,0.95,10,0.4195299867801482,0.095
2,2,0.95,11,0.3897996766592364,0.10500000000000001
2,2,0.95,12,0.3606033838905906,0.115
2,2,0.95,13,0.33214787000376794,0.125
2,2,0.95,14,0.30460346599949867,0.135
2,2,0.95,15,0.27811017991749076,0.14500000000000002
2,2,0.95,16,0.2527815621365535,0.155
2,2,0.95,17,0.2287072310199062,0.165
2,2,0.95,18,0.20595474093730665,0.17500000000000002
2,2,0.95,19,0.18457124630228405,0.185
