"fidelity","eta_opt"
0.2749713485424143,0.01
0.28414244363868185,0.02
0.29330557847728,0.03
0.30245099087498684,0.04
0.31156910094143764,0.05
0.3206505198759629,0.060000000000000005
0.3296860587185247,0.06999999999999999
0.33866673703802785,0.08
0.34758379153811797,0.09
0.3564286845584822,0.09999999999999999
0.3651931124484253,0.11
0.37386901378895726,0.12
0.3824485774396295,0.13
0.39092425038681095,0.14
0.39928874537087183,0.15000000000000002
0.40753504827079307,0.16
0.41565642522594587,0.17
0.4236464294761658,0.18000000000000002
0.43149890790271694,0.19
0.43920800725426423,0.2
0.4467681800435499,0.21000000000000002
0.45417419010204163,0.22
0.4614211177813923,0.23
0.46850436479212143,0.24000000000000002
0.47541965867144687,0.25
0.4821630568737089,0.26
0.488730950478285,0.27
0.4951200675113217,0.28
0.5013274758789912,0.29000000000000004
0.5073505859113203,0.3
0.5131871525169408,0.31
0.5188352769503576,0.32
0.5242934081945536,0.33
0.5295603439629238,0.34
0.5346352313256544,0.35000000000000003
0.539517566966777,0.36000000000000004
0.5442071970791683,0.37
0.5487043169057895,0.38
0.5530094699364557,0.39
0.5571235467703503,0.4
0.5610477836554163,0.41000000000000003
0.5647837607166236,0.42000000000000004
0.5683333998859343,0.43
0.5716989625475638,0.44
0.5748830469128711,0.45
0.5778885851398958,0.46
0.5807188402131647,0.47000000000000003
0.5833774025999656,0.48000000000000004
0.5858681866997527,0.49
0.5881954271037484,0.5
0.5903636746821093,0.51
0.5923777925162075,0.52
0.5942429516936425,0.53
0.5959646269834971,0.54
0.5975485924090885,0.55
0.5990009167349949,0.56
0.6003279588844004,0.5700000000000001
0.6015363633018338,0.5800000000000001
0.6026330552750089,0.59
0.603625236227763,0.6
0.6045203789939064,0.61
0.6053262230790302,0.62
0.6060507699139681,0.63
0.6067022780994358,0.64
0.6072892586363179,0.65
0.6078204701299654,0.66
0.6083049139494401,0.67
0.6087518293137609,0.68
0.6091706882664975,0.6900000000000001
0.6095711904872272,0.7000000000000001
0.6099632578730253,0.7100000000000001
0.6103570288047966,0.72
0.6107628519913262,0.73
0.6111912797577583,0.74
0.6116530606140155,0.75
0.6121591309015308,0.76
0.6127206052724405,0.77
0.613348765702908,0.78
0.6140550486799393,0.79
0.6148510301273312,0.8
0.6157484075492591,0.81
0.6167589787674137,0.8200000000000001
0.6178946165070414,0.8300000000000001
0.6191672379462504,0.8400000000000001
0.620588768178699,0.85
0.6221710963494476,0.86
0.6239260230045947,0.87
0.625865196944729,0.88
0.6280000395881412,0.89
0.6303416545309908,0.9
0.6329007196382177,0.91
0.6356873586129617,0.92
0.6387109885781329,0.93
0.6419801397695158,0.9400000000000001
0.6455022429976467,0.9500000000000001
0.6492833801029732,0.9600000000000001
0.653327992228522,0.97
0.6576385403953158,0.98
0.6622151126219119,0.99
