"fidelity","p_opt"
0.26760259780254375,0.13282133290676637
0.27255650388830616,0.13181297742532044
0.2775104099740686,0.13081466423814808
0.282464316059831,0.12982608354055994
0.2874182221455934,0.12917228724835975
0.29237212823135583,0.12819926006971052
0.29732603431711824,0.12723517676619042
0.3022799404028807,0.12659728361068515
0.3072338464886431,0.1256474824423753
0.3121877525744055,0.12470588693740274
0.31714165866016797,0.12408258426393456
0.3220955647459304,0.12315407940178208
0.3270494708316928,0.122233087582646
0.3320033769174552,0.12162314381770802
0.3369572830032176,0.12071412346056379
0.34191118908898005,0.12011193652881008
0.34686509517474245,0.1192142218259649
0.35181900126050486,0.11861935601125564
0.3567729073462673,0.11773230523386073
0.3617268134320297,0.11685135426948952
0.36668071951779213,0.11626733448762283
0.37163462560355454,0.11539606729379641
0.37658853168931694,0.11481830642388934
0.3815424377750794,0.11395613753375376
0.3864963438608418,0.11338425184805145
0.3914502499466042,0.11253061524401492
0.3964041560323667,0.11196423361059875
0.4013580621181291,0.11111858163401542
0.4063119682038915,0.11027746481287604
0.4112658742896539,0.10971914715149252
0.4162197803754163,0.10888517438348133
0.42117368646117875,0.10833144988526958
0.42612759254694116,0.10750411666917341
0.43108149863270356,0.10695465408026462
0.436035404718466,0.10613347093999664
0.44098931080422843,0.10558794875830864
0.44594321688999083,0.10477244046374312
0.45089712297575324,0.10423054643895131
0.45585102906151564,0.10342025128418449
0.4608049351472781,0.10261286776915883
0.4657588412330405,0.102076151091104
0.4707127473188029,0.10127326847092027
0.4756666534045654,0.10073940817767012
0.4806205594903278,0.09994059691543924
0.4855744655760902,0.09914402703670637
0.4905283716618526,0.09861415239935854
0.495482277747615,0.09782099004102825
0.5004361838333775,0.09729325249332058
0.5053900899191399,0.09650309665091274
0.5103439960049023,0.09571455648531325
0.5152979020906647,0.09518969212898809
0.5202518081764271,0.09440353787956103
0.5252057142621895,0.09361863442847304
0.5301596203479519,0.09283484868527642
0.5351135264337143,0.09231288097876277
0.5400674325194768,0.09153066768647472
0.5450213386052392,0.09074922678070742
0.5499752446910016,0.08996843227096972
0.554929150776764,0.08944820033620392
0.5598830568625265,0.08866820824171048
0.5648369629482889,0.08788853564806162
0.5697908690340513,0.08710906331652583
0.5747447751198138,0.08632967380920886
0.5796986812055762,0.08555025147750042
0.5846525872913386,0.08477068245363957
0.589606493377101,0.08425083284826977
0.5945603994628634,0.08347077111948467
0.5995143055486258,0.08242998317557203
0.6044682116343882,0.08164872420459546
0.6094221177201506,0.08086677584273178
0.614376023805913,0.08008403490935788
0.6193299298916755,0.0793004000362823
0.6242838359774379,0.07851577168587957
0.6292377420632003,0.07773005217285343
0.6341916481489627,0.07668056347229579
0.6391455542347252,0.07589192862946172
0.6440994603204876,0.07510189074033932
0.64905336640625,0.07404617029368551
0.6540072724920125,0.07325251481923985
0.6589611785777749,0.07219166002988381
0.6639150846635373,0.0711276018160064
0.6688689907492997,0.07032734298830699
0.6738228968350621,0.06925723258739429
0.6787768029208245,0.06818342161068293
0.683730709006587,0.06710574369680461
0.6886846150923494,0.0660240407243023
0.6936385211781118,0.06466602489247117
0.6985924272638742,0.06357473283014083
0.7035463333496366,0.06220430783969325
0.708500239435399,0.06110277741452306
0.7134541455211614,0.05971920455399478
0.7184080516069239,0.05832806606586414
0.7233619576926863,0.05664850583502348
0.7283158637784487,0.054957643194101014
0.7332697698642112,0.053255356555545454
0.7382236759499736,0.05125486696766164
0.743177582035736,0.049238864123454996
0.7481314881214984,0.04691622206802756
0.7530853942072608,0.04398608937251646
0.7580393002930232,0.040136144272250124
0.7629932063787856,0.030823777975261778
